"word_rank","word","frequency"
1,THERE,3148528
2,RIGHT,2576821
3,ABOUT,2487348
4,THINK,1839473
5,GOING,1520767
6,WOULD,1340070
7,WHERE,1322226
8,GONNA,1188190
9,COULD,1111837
10,NEVER,930831
11,SORRY,818019
12,THANK,773577
13,DOING,732145
14,THING,697528
15,THESE,683128
16,STILL,639540
17,THEIR,601171
18,AGAIN,590019
19,MAYBE,581087
20,OTHER,577197
21,AFTER,572761
22,NIGHT,556318
23,GREAT,545768
24,THOSE,528404
25,YEARS,481860
26,LEAVE,478282
27,MONEY,471643
28,PLACE,444863
29,WHICH,422483
30,HELLO,405534
31,HOUSE,388585
32,EVERY,388520
33,BEING,386528
34,WRONG,370949
35,WORLD,370620
36,MIGHT,367145
37,THREE,366626
38,TODAY,366395
39,FOUND,337382
40,WOMAN,324673
41,HEARD,269851
42,READY,267268
43,HAPPY,262141
44,HAVEN,258463
45,WHOLE,257109
46,START,256417
47,WHILE,255970
48,GUESS,250320
49,BRING,247343
50,WANNA,243109
51,ALONE,240475
52,PHONE,235246
53,LOOKS,233814
54,GOTTA,230351
55,UNTIL,225171
56,WANTS,215149
57,HEART,213914
58,WORRY,211329
59,LATER,208878
60,WATCH,207949
61,MUSIC,207205
62,YOUNG,194810
63,WATER,193014
64,UNDER,189347
65,DEATH,189000
66,CRAZY,188767
67,DRINK,182580
68,KNOWS,181663
69,TIMES,176522
70,CHECK,176507
71,HANDS,176291
72,MEANS,174311
73,POINT,174205
74,MAKES,172281
75,ASKED,171740
76,SLEEP,168103
77,QUITE,166980
78,CLOSE,166677
79,PARTY,166137
80,COMES,164503
81,SHALL,164162
82,STORY,164040
83,LEAST,162905
84,GIRLS,159061
85,STAND,155391
86,CHILD,151864
87,HOURS,151156
88,SPEAK,150927
89,WOMEN,150803
90,TRUTH,148389
91,BLOOD,147913
92,BREAK,143107
93,TRUST,141327
94,YOURS,140553
95,SEEMS,136699
96,POWER,136611
97,HONEY,135631
98,TRIED,135401
99,FRONT,135341
100,HURRY,130182
101,ALONG,128220
102,LIGHT,126657
103,NEEDS,126398
104,CLEAR,125730
105,ORDER,125446
106,FUNNY,123924
107,BLACK,123718
108,ALIVE,122833
109,CAUSE,121264
110,AHEAD,120295
111,SIGHS,117410
112,TAKEN,115236
113,WHITE,112881
114,SMALL,112316
115,LIVES,110583
