"frequency","count(*)"
0,2638
1,765
2,491
3,377
4,254
5,214
6,189
7,170
8,138
9,131
10,131
11,100
12,90
13,103
14,95
15,78
16,79
17,70
18,55
19,62
20,38
21,58
22,65
23,60
24,46
25,41
26,33
27,37
28,44
29,45
30,42
31,44
32,36
33,30
34,24
35,35
36,31
37,35
38,23
39,37
40,40
41,16
42,26
43,22
44,21
45,26
46,27
47,20
48,23
49,22
50,26
51,24
52,16
53,19
54,21
55,23
56,15
57,19
58,14
59,20
60,17
61,10
62,14
63,19
64,21
65,13
66,15
67,21
68,17
69,10
70,16
71,13
72,15
73,15
74,10
75,9
76,14
77,12
78,19
79,16
80,17
81,9
82,13
83,16
84,20
85,14
86,10
87,18
88,12
89,17
90,7
91,13
92,11
93,14
94,8
95,16
96,7
97,17
98,10
99,8
100,14
101,6
102,13
103,8
104,6
105,5
106,12
107,11
108,9
109,12
110,15
111,13
112,13
113,6
114,9
115,9
116,15
117,5
118,6
119,7
120,7
121,9
122,8
123,9
124,10
125,8
126,10
127,11
128,10
129,3
130,9
131,7
132,9
133,4
134,8
135,7
136,13
137,6
138,6
139,17
140,2
141,9
142,7
143,5
144,6
145,8
146,4
147,7
148,5
149,8
150,7
151,7
152,8
153,9
154,1
155,6
156,6
157,8
158,5
159,6
160,12
161,5
162,4
163,6
164,5
165,6
166,6
167,5
168,4
169,5
170,9
171,1
172,13
173,7
174,3
175,9
176,7
177,6
178,7
179,8
180,5
181,3
182,7
183,7
184,4
185,7
186,5
187,8
188,10
189,3
190,6
191,4
192,5
193,3
194,6
195,6
196,4
197,5
198,2
199,12
200,5
201,6
202,6
203,7
204,9
205,6
206,8
207,2
208,7
209,8
210,4
211,5
212,4
213,4
214,4
215,8
216,3
217,1
218,4
219,4
220,3
221,1
222,7
223,2
224,1
225,5
226,6
227,6
228,7
229,4
230,3
231,3
232,2
233,5
234,4
235,7
236,6
237,5
238,7
239,3
240,7
241,3
242,10
243,2
244,9
245,5
246,7
247,10
248,2
249,1
250,5
251,2
252,6
253,1
254,2
255,4
256,7
257,1
258,5
259,3
260,2
261,2
262,2
263,2
264,5
266,4
267,5
268,7
269,5
270,2
271,3
272,2
273,2
274,5
275,4
276,3
277,3
278,2
279,2
280,4
281,4
282,4
283,8
284,4
285,2
286,2
287,7
288,4
289,3
290,3
291,4
292,4
293,4
294,1
295,4
296,5
297,1
298,5
299,5
300,7
301,3
302,2
303,3
304,4
305,2
306,3
307,2
308,5
309,2
310,7
311,3
312,1
313,3
314,1
315,4
316,5
317,2
318,3
319,1
320,2
321,3
322,1
323,2
324,3
325,4
326,3
327,8
328,2
329,4
330,2
331,5
332,3
