"id","word","frequency","score"
1,AAHED,1,10.0
2,AALII,0,10.0
5,ABACA,3,9.6
6,ABACI,3,9.6
8,ABACS,0,10.0
9,ABAFT,8,9.1
10,ABAKA,7,9.1
11,ABAMP,0,10.0
12,ABAND,3,9.6
14,ABASH,6,9.2
15,ABASK,0,10.0
19,ABBED,1,10.0
23,ABCEE,0,10.0
25,ABEAR,3,9.6
26,ABELE,17,8.6
27,ABETS,9,9.0
30,ABIES,2,9.7
32,ABLER,11,8.9
34,ABLET,1,10.0
35,ABLOW,0,10.0
36,ABMHO,0,10.0
38,ABOHM,0,10.0
39,ABOIL,0,10.0
40,ABOMA,0,10.0
41,ABOON,6,9.2
42,ABORD,16,8.7
43,ABORE,3,9.6
48,ABRAY,0,10.0
49,ABRIM,1,10.0
50,ABRIN,6,9.2
51,ABRIS,12,8.8
52,ABSEY,0,10.0
53,ABSIT,3,9.6
54,ABUNA,0,10.0
55,ABUNE,0,10.0
57,ABUTS,11,8.9
59,ABYES,0,10.0
60,ABYSM,3,9.6
62,ACAIS,0,10.0
63,ACARI,6,9.2
64,ACCAS,0,10.0
65,ACCOY,0,10.0
66,ACERB,1,10.0
67,ACERS,9,9.0
68,ACETA,0,10.0
73,ACIDY,8,9.1
75,ACINI,1,10.0
76,ACKEE,9,9.0
78,ACMES,0,10.0
79,ACMIC,0,10.0
80,ACNED,1,10.0
81,ACNES,10,8.9
82,ACOCK,4,9.4
83,ACOLD,1,10.0
85,ACRED,5,9.3
93,ACYLS,0,10.0
96,ADAWS,0,10.0
97,ADAYS,2,9.7
98,ADDAX,0,10.0
102,ADDLE,14,8.7
103,ADEEM,6,9.2
105,ADHAN,10,8.9
108,ADITS,0,10.0
110,ADMEN,6,9.2
113,ADMIX,0,10.0
119,ADOWN,1,10.0
120,ADOZE,0,10.0
121,ADRAD,0,10.0
122,ADRED,1,10.0
123,ADSUM,0,10.0
124,ADUKI,3,9.6
126,ADUNC,0,10.0
127,ADUST,3,9.6
128,ADVEW,0,10.0
129,ADYTA,0,10.0
130,ADZED,0,10.0
131,ADZES,0,10.0
132,AECIA,0,10.0
133,AEDES,13,8.8
137,AEROS,3,9.6
139,AFALD,0,10.0
140,AFARA,3,9.6
141,AFARS,2,9.7
142,AFEAR,4,9.4
143,AFFIX,1,10.0
145,AFLAJ,0,10.0
149,AFRIT,0,10.0
154,AGAMI,6,9.2
156,AGARS,1,10.0
157,AGAST,3,9.6
160,AGAZE,2,9.7
161,AGENE,1,10.0
163,AGERS,14,8.7
164,AGGER,11,8.9
